ANSC*3040,1 / 38,LEC Mon  Wed  Fri 01:30PM - 02:20PM AD-S  Room Virtual LAB Tues 11:30AM - 12:50PM AD-S  Room Virtual EXAM Mon 08:30AM - 10:30AM (2021/04/19) Room TBA,E. De Souza Ribeiro
ANSC*3040,1 / 38,LEC Mon  Wed  Fri 01:30PM - 02:20PM AD-S  Room Virtual LAB Tues 01:00PM - 02:20PM AD-S  Room Virtual EXAM Mon 08:30AM - 10:30AM (2021/04/19) Room TBA,E. De Souza Ribeiro
ANSC*3040,2 / 38,LEC Mon  Wed  Fri 01:30PM - 02:20PM AD-S  Room Virtual LAB Tues 02:30PM - 03:50PM AD-S  Room Virtual EXAM Mon 08:30AM - 10:30AM (2021/04/19) Room TBA,E. De Souza Ribeiro
ANSC*3040,1 / 38,LEC Mon  Wed  Fri 01:30PM - 02:20PM AD-S  Room Virtual LAB Tues 04:00PM - 05:20PM AD-S  Room Virtual EXAM Mon 08:30AM - 10:30AM (2021/04/19) Room TBA,E. De Souza Ribeiro
ANSC*3040,6 / 38,LEC Mon  Wed  Fri 01:30PM - 02:20PM AD-S  Room Virtual LAB Tues 08:30AM - 09:50AM AD-S  Room Virtual EXAM Mon 08:30AM - 10:30AM (2021/04/19) Room TBA,E. De Souza Ribeiro
ANSC*3170,1 / 130,LEC Tues  Thur 11:30AM - 12:50PM AD-S  Room Virtual,D. Bureau
ANSC*3180,32 / 275,LEC Mon  Wed  Fri 03:30PM - 04:20PM AD-S  Room Virtual EXAM Thur 08:30AM - 10:30AM (2021/04/22) Room TBA,J. Templeman
ANSC*3270,34 / 275,LEC Mon  Wed  Fri 04:30PM - 05:20PM AD-S  Room Virtual EXAM Fri 07:00PM - 09:00PM (2021/04/16) Room TBA,"N. Karrow, G. Mason, E. Kiarie, E. De (more)"
ANSC*4090,37 / 120,LEC Tues  Thur 11:30AM - 12:50PM AD-S  Room Virtual EXAM Tues 02:30PM - 04:30PM (2021/04/20) Room TBA,T. Widowski
ANSC*4100,0 / 160,LEC Tues  Thur 08:30AM - 09:50AM AD-S  Room Virtual,V. Osborne
ANSC*4260,9 / 60,LEC Mon  Wed 11:30AM - 12:20PM AD-S  Room Virtual LAB Tues 01:00PM - 03:50PM AD-S  Room Virtual EXAM Tues 07:00PM - 09:00PM (2021/04/27) Room TBA,K. Wood
ANSC*4350,6 / 20,LAB Tues 02:30PM - 05:20PM ANNU  Room 102,"J. Squires, L. Huber"
ANSC*4470,18 / 60,LEC Mon  Wed  Fri 09:30AM - 10:20AM AD-S  Room Virtual EXAM Thur 07:00PM - 09:00PM (2021/04/15) Room TBA,J. Cant
ANSC*4490,22 / 90,LEC Tues  Thur 01:00PM - 02:20PM AD-S  Room Virtual,J. Squires
ANSC*4610,4 / 20,LEC Thur 02:30PM - 05:20PM AD-S  Room Virtual EXAM Fri 02:30PM - 04:30PM (2021/04/23) Room TBA,M. Fan
ANSC*4650,6 / 60,LEC Mon  Wed  Fri 10:30AM - 11:20AM AD-S  Room Virtual EXAM Tues 08:30AM - 10:30AM (2021/04/27) Room TBA,N. Karrow
ANSC*4700,12 / 25,LAB Days TBA Times TBA Room TBA,J. Li
ANSC*4710,3 / 25,LAB Days TBA Times TBA Room TBA,J. Li
ANSC*6050,8 / 15,LEC Fri 11:30AM - 02:20PM AD-S  Room Virtual LAB Fri 02:30PM - 04:20PM AD-S  Room Virtual,C. Baes
ANSC*6100,19 / 20,LEC Days TBA Times TBA Room TBA,N. Karrow
ANSC*6100,12 / 19,,D. Tulpan
ANSC*6100,0 / 0,,TBA TBA
ANSC*6250,5 / 15,LEC Thur 02:30PM - 05:20PM AD-S  Room Virtual,"K. Wood, E. Kiarie"
ANSC*6330,17 / 20,LEC Mon  Wed 04:00PM - 05:20PM AD-S  Room Virtual LAB Fri 03:30PM - 05:20PM AD-S  Room Virtual,D. Tulpan
ANSC*6360,16 / 20,LEC Wed 08:30AM - 11:20AM AD-S  Room Virtual,M. Fan
ANSC*6360,0 / 0,,TBA TBA
ANSC*6390,8 / 10,LEC Mon  Wed 01:00PM - 02:20PM AD-S  Room Virtual,F. Schenkel
ANSC*6400,12 / 15,LEC Tues  Thur 10:00AM - 11:20AM AD-S  Room Virtual,G. Bedecarrats
ANSC*6480,2 / 8,LEC Tues 02:30PM - 05:20PM AD-S  Room Virtual,D. Bureau
